Feature,Type
MolMR,Electronic
Chi1,Structural
TPSA,VSA
VSA_EState3,VSA
NumRotatableBonds,Structural
Kappa2,Structural
NumHDonors,Structural
SlogP_VSA5,VSA
NHOHCount,Structural
VSA_EState7,VSA
SMR_VSA5,VSA
HeavyAtomMolWt,Structural
VSA_EState8,VSA
MolLogP,Structural
BertzCT,Structural
Chi1v,Structural
PEOE_VSA6,VSA
Chi2n,Structural
Chi4n,Structural
Chi4v,Structural
MinEStateIndex,Electronic
Kappa3,Structural
Chi3n,Structural
Chi1n,Structural
PEOE_VSA1,VSA
VSA_EState1,VSA
VSA_EState2,VSA
Chi2v,Structural
Chi0n,Structural
Chi3v,Structural
MinAbsEStateIndex,Electronic
BalabanJ,Structural
SMR_VSA10,VSA
EState_VSA5,VSA
PEOE_VSA8,VSA
Chi0v,Structural
MinPartialCharge,Electronic
HallKierAlpha,Structural
MolWt,Structural
SlogP_VSA10,VSA
MaxPartialCharge,Electronic
MaxAbsEStateIndex,Electronic
MaxAbsPartialCharge,Electronic
SMR_VSA1,VSA
Kappa1,Structural
MaxEStateIndex,Electronic
Chi0,Structural
VSA_EState5,VSA
SlogP_VSA2,VSA
HeavyAtomCount,Structural
PEOE_VSA14,VSA
MinAbsPartialCharge,Electronic
EState_VSA9,VSA
PEOE_VSA4,VSA
NOCount,Structural
EState_VSA1,VSA
SMR_VSA3,VSA
NumHAcceptors,Structural
NumValenceElectrons,Structural
VSA_EState6,VSA
EState_VSA8,VSA
EState_VSA2,VSA
SMR_VSA7,VSA
SMR_VSA6,VSA
PEOE_VSA12,VSA
SlogP_VSA3,VSA
SlogP_VSA6,VSA
NumHeteroatoms,Structural
EState_VSA4,VSA
PEOE_VSA2,VSA
SlogP_VSA4,VSA
EState_VSA3,VSA
VSA_EState4,VSA
EState_VSA10,VSA
SMR_VSA4,VSA
PEOE_VSA3,VSA
VSA_EState10,VSA
EState_VSA6,VSA
PEOE_VSA9,VSA
PEOE_VSA7,VSA
NumAromaticRings,Structural
NumAliphaticHeterocycles,Structural
EState_VSA7,VSA
SlogP_VSA12,VSA
PEOE_VSA10,VSA
NumSaturatedHeterocycles,Structural
VSA_EState9,VSA
SlogP_VSA1,VSA
PEOE_VSA11,VSA
NumSaturatedCarbocycles,Structural
NumSaturatedRings,Structural
NumAromaticHeterocycles,Structural
PEOE_VSA13,VSA
SMR_VSA9,VSA
NumAromaticCarbocycles,Structural
NumAliphaticRings,Structural
NumAliphaticCarbocycles,Structural
SlogP_VSA8,VSA
SlogP_VSA11,VSA
PEOE_VSA5,VSA
SlogP_VSA7,VSA
SMR_VSA2,VSA
NumRadicalElectrons,Structural
EState_VSA11,VSA
SMR_VSA8,VSA
SlogP_VSA9,VSA
